,Unnamed: 0,회사,날짜,직무,재직여부,별점,요약,장점,단점,경영진에게 바라는 점
3270,9559,현대자동차,2019-02-01,생산/제조,현직원,5,생산 라인 에 은 경험 을 할 고 수당 을 많이 고 복지 다,는 에 대한 복지 와 태도 고 는 맛 난다,정해진 대 에 을 고 반복 인 을 싫어하 면 비 추천 한다,경영진 에게 바라 는 은 고 회사 됐 으면 는 바람 다
3271,9560,현대자동차,2019-02-01,마케팅/시장조사,현직원,3,신입 사원 으로서 는 많이 배울 지만 흐를수록 직원 대상 부조리 많이 느껴 는 회사,까지 높 은 연봉 었 으나 현재 는 마저 도 음 여전히 돈 을 많이 는 대 기업 라는 인식 복지 도 차량 구매 시 할인 해 는 밖 음,주재원 다녀온 차 부장 급 월금 루팡 아 보수 임 to 근무 오랫동안 고착 어 고 시 정각 에 나가 는 고 눈치 보여서 못함 여 직원 은 육아 휴직 후 진급 누락 당연 시 고 해외 주재원 기회 음 초과 근무 에 도 별도 수당 음,관리 인사 부탁드려요 개 해 팀 에 동안 은 업무 는 전문가 육성 라 방임 인사 의 사례 입니다
3274,9563,현대자동차,2019-02-01,생산관리/품질관리,현직원,4,기업 네임 밸류 고 일상 생활 에서 과 관련 된 제품 자동차 를 볼 음,이공 계 학사 출신 기 가장 은 회사 라 합니다 추가 로 사원 대리 계급 휴일 습니다 문화 개선 으로 인해 워 라벨 또한 많이 아 졌 습니다,고 연령 직원 습니다 따라서 젊 은 분위기 문화 와 는 거리 습니다,강한 추진력 으로 목표 시 는 바 를 밀 고 나가 세요 노력 및 성과 에 맞 는 보상 제도 생겼으면 겠 습니다
3276,9565,현대자동차,2019-02-01,인사/총무,현직원,2,그냥저냥 현대 의 미래 궁금 네요,장점 랄 게 굳이 꼽 자면 점심 을 구내식당 서 먹 어도 지만 층 별 로 배달 된다는 거,군대 문화 꼰대 점점 줄어드 는 복리 교통 불편 보고 를 위한 업무 프로,윗물 물갈이 셔야 될 아요 는 만 죽 어라 네요
3277,9566,현대자동차,2019-02-01,금융/재무,현직원,4,더라도 다 같이 고 못 더라도 다 같이 못 자,최근 줄 어 휴가 를 비교 자유 롭 게 쓸 는 분위기 로 바뀌 어 고 음 물론 팀 by 팀 기 는 지만,성과급 지속 으로 감소 여 연봉 상대 으로 게 느껴짐 아직 은 기업 문화 다소 수직 임 통제 관리 불 필요 할 로 심함,합리 인 보상 체계 복지 제도 허울 뿐 인 유연근 무제 아닌 실제로 도 유연 게 쓸 도록 관리자 및 임원 의 인식 개선 노력
3282,9571,현대자동차,2019-01-01,마케팅/시장조사,현직원,5,한국 자동차 시장 을 주도 며 꿈 을 실현 할 는 곳 은 기업 라고 합니다 추천 합니다,대 기업 라서 여러 부분 에서 효율 인 근무 가능 고 복지 면 에서 뛰어남,출근 을 빨리 해야 는 단점 음 상명하복 문화 음 단점 라고 는 애매 지만 여러 부분 에서 보완 할 음,복지 와 직원 의식 함양 에 신경 써 세요 연봉 협상 에서 유연 게 해 세요
3284,9573,현대자동차,2019-01-01,생산관리/품질관리,현직원,4,요즘 은 많이 경쟁력 낮 아 졌 지만 위기 도 극복 할 을 만 자본 을 가진 기업,을 통해 많이 개선 된 편 입니다 그래서 워 라벨 은 점점 아 질 가능 성 을 갖 고 는 편 입니다,관리자 을 고 단순 지시 이해 도 는 너무나 관리자 로서 책임 없이 함 본인 은 관리 만 는 게 다 라고 함,실질 인 개선 을 위해서 는 공장 에 는 인력 개편 필요 합니다
3285,9574,현대자동차,2019-01-01,기획/경영,현직원,3,덩치 만 걷잡 을 없이 커져 버린 기업 느낌 겉 으로 기 엔 아 지만 막상 에서 니 의사 결정 체계 거의 다고 봐도 무방 결국 큰 결정 은 의 손 에 달려 음,여름휴가 명절 보너스 분기 별 보너스 포인트 밥 공짜 로 줌 뭐 을까 기업 의 장점 은 통장 에 찍히 는 돈 과 관련 는 듯 근데 마저 도 요즘 엔 그렇게 높 은 편 도 라고 함,자율 출근 제 라지만 자율 출근 라고 기 힘든 시스템 코어 무슨 밥 맛있 게 해 세요 아직 도 수직 군대 문화 남 아 음 약 먹 어서 술 못 마신다고 면 상사 눈 부라림,투자 헛된 곳 에 맙시다 직원 사기 진작 시켜 세요 술 잔 돌리 기 금지 시켜 세요 더러워 죽 겠 어요 진짜 으으으 더러워
3286,9575,현대자동차,2019-01-01,기획/경영,현직원,4,급여 와 복지 습니다 회사 변하 려는 의지 강 합니다,미래 찬 산업 의 꼭짓점 에 는 완성 차 사임 미래 모빌리티 전 영역 을 추진,학연 지연 는 듯 분명 음 특히 서울대 고려대 선호,의 경영진 최선 라고 시 죠 전략가 부족 합니다
3290,9579,현대자동차,2019-01-01,생산/제조,현직원,4,조금 씩 발전 고 는 회사 과거 와 미래 공존 고 으며 현재 의 위치 에서 우상 향 일지 우 하향 일지 결정 될 음,대 기업 으로써 초봉 세 다 근무 환경 점점 아 고 으며 기업 문화 도 아 고 음,아직 까지 옛 시스템 을 버리 고 으며 딱딱 문화 남 아 음,선택 과 집중 필요 다고 함 까지 양 성장 었 다면 으로 는 질 성장 필요 함
3295,9584,현대자동차,2019-01-01,연구개발,현직원,5,템 바 팀 라 기업 줄 평 불 가함 전반 으로 프로젝트 기간 길 어 매일 매일 쫓겨 진 는 듯 팀 은 고 배울 은 다,복지 남양 기숙사 음 밥 도 맛있 음 성장 할 음,출퇴근 도로 사정 음 성과 금 요즘 전 에 비해 줄 었 지만 나쁘 음,적패 청산 적극 인 mna 와 제네시스 브랜드 계속 해 나가 길
3296,9585,현대자동차,2019-01-01,연구개발,현직원,4,최근 경영 실적 악화 고 지만 그래도 반도체 를 제외 면 공대 출신 으로 갈 는 최고 의 직장 TOP 에 드 는 기업,부서 에 따라 근무지 에 따라 다르 지만 연구소 에 는 군대 위 의 현대 라는 별명 무색 게 많이 젊 은 분위기 어 고 음 사기업 에서 는 정년 어느 보장 는 분위기,글로벌 TOP 완성 차 업체 라는 믿기 을 로 업무 체계 라는 게 잡혀 음 책임감 을 고 시 는 분 도 지만 일부 입 으로 만 업무 를 시 는 분 아직 음,위기 의 상황 을 극복 해야 한다는 당연 보다 는 의 상황 을 인지 고 올바른 방향 성 을 제시 해 었 으면 합니다
3298,9587,현대자동차,2019-01-01,기획/경영,현직원,3,역량 은 직원 음 자동차 제조 업체 라 사업 자체 흥미 로움 안정 임,우수 인원 만 골라 채용 다 니 동료 직원 수준 뛰어남 복지 제도 와 연봉 수준 안정 임 회사 규모 에 업무 추진 시 자금력 및 파급 효과 아 해 볼 는 게 음,인력 정체 심해 위 직급 에 고인 물 음 직무 에 따라 분위기 차이 심해 구매 경영 지원 은 아직 도 고전 인 대 기업 문화 못 벗어나 보수 고 절차 및 규율 시대 착오 로 엄격,경영 층 끼리 만 얘기 고 일반 직원 얘기 에 도 귀 기울여야 함
3299,9588,현대자동차,2019-01-01,생산/제조,현직원,4,단기간 목돈 모으 기 은 최선 의 직장 최고 의 직장 쳇바퀴 굴리 는 삶,로 다 기 힘든 기업 복지 상여금 프로 자기 개발비 만 지원 연월 차 기준 개 매달 회 연말 성과급 프로,승진 힘들 고 생산직 군 은 정말 따로 공부 고 갈고닦 으면 정년퇴직 후 에 아무 기술 도 없이 퇴직 게 됨 물론 돈 은 많이 으니 미리 차곡차곡 모아서 준비 할 도 지만,자동차 마크 바꿨으면 겠 다 비주얼 으로 현대사 로고 너무 구식 라 판매 실적 에 도 은 차이 을 듯
3303,9592,현대자동차,2019-01-01,생산/제조,현직원,5,계약직 으로 근무 강도 에 높 은 연봉 을 는 곳 은 아마 을 듯,근무 환경 매우 다 에어컨 히터 작업 환경 아주 고 라인 생산 아주 쉬움 물론 힘든 곳 도 음,솔직히 정규직 생산직 된다면 아쉬울 도 다 높 은 연봉 짧 은 근무 쾌적 근무 환경 아마 최고 의 일자리 다,비정규직 을 다고 정규직 화 했 으면 겠 다 물론 도 진행 지만 촉탁 계약직 라는 합리 노동 착취 사라졌으면 겠 다
