,Unnamed: 0,회사,날짜,직무,재직여부,별점,요약,장점,단점,경영진에게 바라는 점
7198,20040,LG생활건강,2017-06-01,연구개발,현직원,3,복지 고 과 삶 의 균형 지켜 는 곳 정신 인 스트레스 상당 함,팀 마다 다르 비교 정시 퇴근 가능 고 휴가 도 권장 는 편 의 양 음,윗분 의 목소리 커서 의견 피력 어려움 회사 매출 에 굉장히 신경 써야 며 때로 는 업무 마케팅 인지 연구원 인지 구분 안감 대 기업 다 니 회의 자료 작성 은 편,빠르 게 변화 는 시장 에 대응 는 회사 인데 트렌드 를 너무 는 음
7200,20042,LG생활건강,2017-05-01,영업/제휴,현직원,3,성장 고 으며 망할 은 을 음 부서 마다 다르 work life 균형 맞 는 편,연차 퇴근 눈치 아도 됨 계속 성장 고 는 회사 업계 에서 는 위 는 자부심,과감 투자 으며 스마트 전략 부족 연봉 대 기업 치고 는 낮 은 편,과감 투자 와 똑똑 전략 필요 이익 많이 는 만큼 연봉 인상
7201,20043,LG생활건강,2017-05-01,생산관리/품질관리,현직원,3,해외 사업 호황 으로 지속 인 성장 곡선 을 이루 고 음 B C 업종 으로 다양 직무 를 경험 할 음,최근 매출 고성장 으로 인센티브 증가 됨 과 삶 의 균형 을 이룰 는 복지 제공 연간 권장 휴가 일정 공유 어 계획 으로 연차 를 사용 할 음,매출 향상 대비 투자 제한 인 편 으로 경쟁력 약화 우려 음,이익 에 대한 균등 배분 과 투자 이루어질 도록 적절 조치 필요 함
7203,20045,LG생활건강,2017-05-01,연구개발,현직원,3,워라 밸 은 은 편 지만 낮 은 연봉 상승 률,비교 눈치 를 덜 는 분위기 부서 에 따라선 항상 칼퇴근 기 도 함 은 분위기,보고 를 위한 작업 는 편 부서 에 따라선 퇴근 엄청 늦 어 기 도 함 초봉 은 괜찮 은 편 지만 연봉 상승 률 높 음,너무 보수 인 의사 결정 안정 인 도 지만 공격 인 면 도 어느 필요 함
7205,20047,LG생활건강,2017-05-01,영업/제휴,현직원,4,워라 밸 어느 보장 며 명실 상부 가족 은 기업 문화 를 느낄 음 다니 기 에 은 회사,매월 회 전사 휴무 칼 퇴 에 눈치 음 휴가 사용 적극 권장 가족 문화 복지 양호,상대 으로 낮 은 연봉 및 인상 률 대외 으로 는 이미지 에 가려진 부정 부분 도 으며 현직 자 은 모두 인지 고 음 중국 에 게 의존 인 매출,신사업 포트폴리오 확장 도 중요 지만 회사 개개 의 브랜드 에 대한 적극 인 투자 필요 함
7210,20052,LG생활건강,2017-04-01,마케팅/시장조사,현직원,3,직무 간 업무 강도 차이 심하 워라 밸 지켜 는 팀 상당히 고 유리 천장 어 다니 기 은 회사,다니 기 은 회사 육아 휴직 사용 에 대해서 긍정 며 팀장 이나 임원 비율 도 높 은 듯 팀 바이 팀 지만 과 삶 의 균형 지켜 는 팀 다,소비자 마케팅 회사 를 표방 지만 제대로 된 마케팅 을 할 음 대 기업 연봉 아님 임원 과 직원 간 급여 갭 커도 너무 커 상대 박탈감 까지 도 느껴짐,성과 에 대한 확실 보상 이나 복지 개선 을 통해 회사 에 대한 충성심 을 제고 할 는 제도 필요 합니다
7211,20053,LG생활건강,2017-04-01,마케팅/시장조사,현직원,2,특정 부서 제외 편하 고 무난 게 오래 다닐 음 전반 인 복지 는 음 단 은 채용 프로세스 를 통해 자회사 배정 으면 차별 대우 는 편 임,여성 비율 높 을 밖에 는 산업 군 으로 여성 복지 는 어 는 편 특정 직군 만 면 큰 욕심 없이 가늘 고 길 게 다니 기 은 회사 전반 으로 은 점잖 은 편,동일 채 용 프로세스 를 거쳐 별다른 설명 없이 자회사 배치 서자 취급 으면서 할 음 특정 직군 에 의존도 높 아 업무 집중포화 로 야근 을 할 밖에 음 단기 매출 채우 기에 급급 해 브 랜 딩 은 못 한다고 봐야 함 연봉 인상 률 최악 라고 면 됨,화장품 을 섬세 감성 으로 키워 나갔으면 대우 다를 거 면 자회사 와 생활 건강 채용 따로 거나 충분히 고지 해야 한다고 함
7216,20058,LG생활건강,2017-03-01,연구개발,현직원,3,팀 마다 매우 분위기 회식 문화 의 다릅니다 고 기본 석사 이상 입니다,휴가 와 제품 에 대한 구매 복지 음 LG 계열사 라는 장점 은 무시 못 합니다,실제로 야근 많이 이루어지 고 팀 마다 의 양 도 다릅니다 전공 에 맞 는 의 배치 이루어지 음,전공 에 맞 는 업무 배치 었 으면 합니다 연구 기간 대한 정확 파악 이루 어 졌으면 합니다
7220,20062,LG생활건강,2017-03-01,마케팅/시장조사,현직원,4,큰 욕심 다면 무난 게 다닐 는 회사 본인 이루 고 은 비전 뚜렷 다면 답답 할 음,자유 로운 분위기 와 복장 리더 에 따라 다르 지만 연차 사용 비교 자유 로움,대 기업 수준 아닌 연봉 소극 고 자주 바뀌 는 사업 방향,진정 마케팅 회사 라면 브랜드 빌딩 을 장기 으로 계획 했 으면
7222,20064,LG생활건강,2017-03-01,마케팅/시장조사,현직원,3,네임 밸류 만큼 인정받 는 직장 으로 동종 업계 대비 높 은 급여 수준,부서 별 로 약간 의 차이 는 지만 전사 휴무 제로 를 통한 휴가 보장,마케팅 의 업무 강도 높 은 편 며 다양 업무 로 전문 인 역량 을 쌓 기 어려움,브랜드 투자 마케팅 인원 보강 부서 별 인원 재배치 를 통한 효율 화
7224,20066,LG생활건강,2017-02-01,연구개발,현직원,3,편안 분위기 에서 는 을 원한다면 추천,연차 와 휴가 사용 비교 자유 롭 고 수평 인 분위기 인 편 임 팀 에 따라 과 삶 의 균형 을 추구 할 음 점심 제공,과 삶 의 균형 을 추구 할 는 은 팀 바이 팀 체계 인 교육 과정 고 업무 에 바로 투입 어 직접 프로세스 를 배워 야 는 음,혁신 과 투자 에 조금 적극 인 자세 었 으면 는 아쉬움 다
7225,20067,LG생활건강,2017-02-01,디자인,현직원,3,워 라벨 은 회사 욕심 없이 가늘 고 길 게 다니 기 은 회사,연차 를 윗사람 눈치 고 쓸 다 대체로 시 반 에 는 퇴근 는 분위기 나이 들어도 다닐 을 은 회사,연봉 상승 률 지나치 게 낮 다 지하 에 는 구내식당 부실 고 맛없 다 새로운 혁신 인 디자인 은 불 가능 다,적극 인 투자 를 해 셨 으면 겠 다 직무 와 동일 대우 를 해 면 겠 다
7226,20068,LG생활건강,2017-02-01,디자인,현직원,3,나름 과 삶 의 균형 을 실천 할 는 회사 마케팅 위주 의 회사 라 디자인 도 마케팅 부서 의 입김 세 다,자율 인 휴가 사용 여성 기 은 회사 고 회사 도 주기 인 교육 과 홍보 로 과 삶 의 균형 을 이루 려 한다,마케팅 부서 위주 로 사업 부 돌아감 그래서 디자이너 로 자존심 상하 는 음,인원 충원 을 더욱더 적극 으로 해서 업무 량 을 체계 으로 분배 했 으면 겠 습니다
7227,20069,LG생활건강,2017-02-01,기획/경영,현직원,1,L 로 시작 는 대 기업 은 거르 는 다 G 로 끝나 면 최고 로 짠 연봉 을 경험 할 다 CEO 에 대한 의존도 며 인사 체가 매우 심하 다 에 전 사원 의 파트 장 화 이뤄질 예정 다,장점 은 컴퍼니 미팅 면 뭔가 준다 퇴근 라고 노래 틀 어 면 아 이제 에 갈 었 구나 한다,연봉 매우 짜 다 꼰대 여기저기 도사리 고 다 잡히 는 건 다 시킨다 연봉 으로 나눠서 는데 기본급 낮 아 퇴직금 도 낮 다 은 게 는 게 단점,임원 만 많이 가져가 고 직원 도 나눠 줘라
7228,20070,LG생활건강,2017-02-01,마케팅/시장조사,현직원,2,야망 없이 오래 회사 다니 고 은 에게 추천,전체 으로 야근 은 는 분위기 복장 자유 로움 회사 는 계속 성장 고 음 개인 인 문화 를 좋아하 는 에게 적합,보고 너무 음 사소 까지 모두 C 레벨 보고 해야 진행 할 음 대외 으로 는 과 는 달리 보수 고 안전 지향 인 업무 방식 업무 인프라 복지 부족 함 특히 IT 인프라 는 열악 수준,현재 의 업무 방식 으로 계속 성장 처럼 게끔 은 할 을지 몰라도 위 는 못 될 듯
7229,20071,LG생활건강,2017-02-01,서비스/고객지원,현직원,1,대 기업 라고 은 줄 만 고 입사 했 지만 미래 는 회사 인재 를 뽑 기,연봉 높 고 식대 교통비 지원 해 며 복지 다 복지 로 만 봤 을 는 손색 음,인재 를 뽑 는다 직원 부족 상태 임 에 도 불구 고 채용 을 으며 채용 을 해도 알바로 만 돌리 는 상태 본사 는 몰라라 며 직접 가르치 는 은 도 함 면서 매출 은 높이 라고 요구,회사 나가 는 돈 만 줄이 려 고 채용 해 줬 으면 퇴직 는 보다 은 을 았 으면 한다
7230,20072,LG생활건강,2017-01-01,마케팅/시장조사,현직원,4,과 삶 의 균형 측면 은 만족 보상 은 아쉬움 워 라벨 중요 다면 추천,연차 칼 퇴 은 눈치 고 가능 자기 만 제대로 면 영차 사용 칼 퇴 는 허용 된 분위기,보고서 아 비 효율 인 측면 도 음 금전 으로 아쉬움,해외 사업 을 체계 으로 했 으면 브랜드 팀 에서부터 시작 는 해외 사업
7231,20073,LG생활건강,2017-01-01,영업/제휴,현직원,1,과 삶 의 균형 대체로 이루 어 즉 군 마다 케밥 케임,성장 는 회사 라는 이미지 대 기업 타이틀 웬만 면 잘림,이미지 와 회사 성과 에 미치 는 직원 대우 연속 성장 을 위한 직원 갈 아 넣 기 비전 는 임원,업무 의 재 배분 필요 특정 부서 특정 인물 에 집중 된 업무 합리 보상 지방 파트 장 이나 려나
7232,20074,LG생활건강,2017-01-01,마케팅/시장조사,현직원,2,LG 왜 기업 인지 는 회사 큰 욕심 없이 루틴 게 다니 기 는 으나 마케팅 인 역량 을 키우 기 는 어려움,눈치 고 휴가 사용 가능 며 야근 을 강제 는 과 삶 의 균형 을 제공 기 위한 다양 노력 을 함 다만 아서 어쩔 없이 야근 을 게 됨 낮 은 연차 에 도 다소 책임 감 는 업무 를 부여받 을 어 빠르 게 을 배울 음,미래 에 투자 고 장기 인 관점 어 오래 다니 고 음 향후 까지 는 겠 으나 후 걱정 됨 브랜드 가치 에 관심 으며 당장 의 성과 를 보일 는 비용 절감 에 만 신경 씀 사내 정치 심해 능력 는 보다 는 아부 는 승진 함 직원 을 resource 아닌 expense 로 는 회사,하루살이 처럼 당장 의 성과 에 만 신경 쓰 기 보다 는 장기 인 안목 을 고 투자 는 태도 필요 함 수직 인 의사 결정 과정 에 실무자 고생 고 좌절 도록 의견 반영 을 해 었 으면
7234,20076,LG생활건강,2017-01-01,금융/재무,현직원,4,요즘 특히 나가 는 회사 로 삶 과 의 균형 을 모토 로 는 회사,근무 기 에 특히 은 회사 분위기 편하 고 음,직군 별 연봉 차이 남 업무 분장 어 음 연봉 대 기업 치고 는 많이 음 야근 은근히 음,과 삶 의 균형 지켜질 도록 관심 을 셨 으면 겠 음
7235,20077,LG생활건강,2017-01-01,생산관리/품질관리,현직원,3,기본 인 제조업 생산 관리 업무 를 할 는 곳 급성장 만큼 개선 해야 할 사항 은 회사,으로 성장 할 가능 성 높 은 회사 며 급여 복리 후생 사내 문화 모든 면 에서 뛰어나 는 지만 무난 회사,생산 측 에서 는 신입 사원 과 기존 입사 자 의 나이 차이 큰 편 라 관리자 실무자 간 의 의 차이 다,생산 쪽 에 비중 이나 투자 생산 규모 에 비해 작 은데 생산 품질 자재 쪽 의 투자 비용 을 늘려 납기 품질 를 해결 할 으면 겠 다
7237,20079,LG생활건강,2017-01-01,디자인,현직원,4,업무 에 욕심내 고 자유 롭 게 오랫동안 다니 기 에 는 음,휴가 를 눈치 봐도 고 꽤 자유 로운 분위기 칼퇴근 도 눈치 고 갈 다,역시 타 대 기업 에 비해 연봉 낮 다 인상 률 은 정말 낮 다,비 효율 인 보고 체계 를 바꿨으면 겠 다
7238,20080,LG생활건강,2017-01-01,디자인,현직원,3,디자인 는 어 그나마 삶 의 균형 은 곳 여성 다니 기 은 회사,다양 복지 수평 문화 제일 장점 인 습니다 연차 자유 롭 게 쓸 는 거 등등,여성 다 니 뒷소문 은 편 고 눈치 를 많이 봐야 합니다,최신 디자인 에 대한 관심 을 었 으면 겠 습니다 디자인 은 거 어도 제품 는 건 그저
7239,20081,LG생활건강,2017-01-01,생산/제조,현직원,5,과 삶 의 균형 는 곳 성비 맞 아서 도 다니 기 은 회사 무엇 보다 달 에 쉴 는 리 프레시 데이 를 보장 며 회사 분위기 대체 으로 은 편 임,무엇 보다 달 에 쉴 는 리 프레시 데이 를 보장 며 회사 분위기 대체 으로 은 편 임,여느 대 기업 처럼 업무 처리 스타일 자체 는 대 기업 스타일 기 에 벤처 와 은 분위기 는 기대 기 어려움,경영진 은 엘지 계열사 에 비해서 매우 오픈 어 는 분위기 며 은 사내 문화 를 려고 노력 함
7241,20083,LG생활건강,2017-01-01,디자인,현직원,2,디자이너 할 는 회사 치 고 높 은 연봉 에 은 복지,자율 출퇴근 제 근무 높 은 성과급 만든 상품 바로 바로 시장 에 나가 는 뿌듯 함 을 느껴볼 음,보수 인 기업 문화 팀 바이 팀 부서 바이 부서 편차 심한 업무 강도 마케팅 디자인 야근 음 나머지 는 칼 퇴 는 듯 잦 은 야근 겉 으로 는 과 삶 의 균형 지켜 는 척 홍보 고 시 려면 소등 해 버리 지만 결국 다 키 고 밤 늦 게 까지 야근 함,마케팅 의 윗사람 너무 독단 고 현명 못한 의사 결정 을 내릴 습니다 한두 의 의견 에 회사 전체 돌아가 는 느낌 마치 전 직원 의 목표 소비자 를 위한 최고 의 제품 을 만드 는 라 오로지 상무 의 취향 저격 는 제품 을 기 위해 머리 싸매 고 고뇌 며 회사 다니 는 느낌 입니다 비록 높 은 직급 의 직원 은 지만 디자이너 디자인 에 고 앤디 앤디 에 대해 고 음 을 존중 며 모두 협력 는 의사 결정 이루어질 는 일터 었 으면 합니다
7243,22485,LG전자,2019-12-01,생산/제조,현직원,4,누구 다 아 는 대 기업 에 다녀서 부모 님 아 신다,근로 기준 법 을 준수 한다 연차 도 쓸 고 상여금 도 나온다,딱히 단점 은 는 거 다 삼성 에 비해 인지도 밀린다,핸드폰 사업 을 접 었 으면 겠 다 삼성 보다 올라가 게 운영 해 세요
7245,22487,LG전자,2019-12-01,인사/총무,현직원,3,대 기업 지만 착한 회사 은 환경 과 따뜻 는 곳 그렇지만 그게 오히려 단점 될 도 다,연차 쓸 음 유연근 무제 임 월급 과 상여금 인센티브 꼬박꼬박 나옴,엄격 보안 절차 성장 을 막 는다 착한 라 나가 야 할 을 못 내보냄,글쎄요 경영진 너무 으니 이야기 할 게 다 모두 합시다
7246,22488,LG전자,2019-12-01,영업/제휴,현직원,4,국내 전자 제조업 계 지만 연봉 은 몇 위 그렇지만 이만 회사 다,지키 며 퇴근 후 의 삶 다 제조업 으로 역사 는 인정,연봉 다 과연 몇 노 는 다,노 는 아저씨 잘라 줬 으면 겠 다 티 호만 잡아먹 고 영업 이익 만 깎 는 놈
7248,22490,LG전자,2019-12-01,개발,현직원,3,은 회사 임 에 는 틀림없 습니다 아르바이트 생 지만 약간 힘든 을 제외 고 는 모든 면 에서 은 은 변함없 는 그러므로 적극 추천 합니다,사무실 분위기 는 최상 으로 자유 롭 고 편안 분위기 로 권위 인 을 원하 는 면 비추 합니다 하지만 워라 밸 을 추구 신다면 적극 추천,능력 에 따른 평가 로 인해 더욱 팀원 간 에 팀워크 일어나 고 또한 선의 의 경쟁 으로 서로 은 영향 을 고 음 느껴집니다 지인 게 된다면 적극 추천 합니다,직원 의 복지 개선 을 위해 더욱 힘 을 써 시 길 바랍니다 외 에 는 달리 큰 될 만 은 습니다
7249,22491,LG전자,2019-12-01,연구개발,현직원,3,그냥 다닐 만 다 확실히 대 기업 수준 의 연봉 은 을 으나 대안 으니 다니 는 다 어느 회사 을 법 상사 에 대한 불만 프로세스 에 대한 불만 다,자율 출퇴근 및 제도 도와 줘서 고 과만 포기 면 공무원 마인드 로 근무 할 다 지만 부서 별 로 차이 아주 다,상명하복 문화 임 에 도 윗선 에서 의 의사 결정 느리 고 번복 는 은 단점 위 부터 내려오 는 의사 결정 장애 라 일반 임원 이나 부장 급 는 건 그럴 밖에 다고 이해 할,작 은 그림 은 각 분야 의 전문가 그리 는 게 맞 는다고 봄
7250,22492,LG전자,2019-12-01,영업/제휴,현직원,3,얇 고 길 게 고 은 추천 공무원 은 다 역동 성 고 한심 부서 이기주 의 만연,못 해도 고 챙겨 간다는 느낌 으면 고 적당히 면서 워 라벨 챙기 기 음 넉넉 고 대 기업 명함 필요 면 추천,전문 성 이나 개인 의 성장 은 바라지 도 말라 업무 능력 보다 정치 중요 다,재발 성과 에 따른 보상 체계 네임 밸류 대 기업 라고 임원 만 챙겨 는데 직원 에게 도 성과 를 제대로 분배 길
7253,22495,LG전자,2019-12-01,기획/경영,현직원,4,분위기 유하 고 개인 을 존중 는 편 지만 보수 인 문화 임,개인 존중 구성원 유 함 근무지 음 서울 기준 네임 밸류 자잘 사내 복지,연봉 동종 업계 수준 대비 짬 연봉 상승 률 도 짬 성과급 도 짠 편 동급 대비 사내 복지 은 건 아님,수익 성 높 은 사업 을 발굴 고 인 당 생산 성 을 높여야 함
7254,22496,LG전자,2019-12-01,연구개발,현직원,5,가전 분야 사업 에서 는 수년 째 은 성과 를 고 는 일류 기업,긍정 으로 변해 는 회사 문화 헬 창원 은 점점 사라지 고 는 분위기,그래도 곳곳 에 남 은 헬 창원 문화 완전히 사라지 진 음 연봉 수준 낮 은 건 높 은 도 아님 MC 사업 의 리스크,연봉 인선 에 대해 직원 에게 베풀 면 을 듯 합니다
7255,22497,LG전자,2019-12-01,연구개발,현직원,2,편하 게 공무원 처럼 고자 는 마음 다면 추천,조용히 반 만 자는 으로 다니 면 아무 도 고 행복 게 다닐 음,는 만 는 문화 평균 으로 경쟁사 대비 낮 은 보수 뿌리 깊 은 문화,직원 의 처우 에 대한 불만 은데 제대로 반영 은 아쉽 다
7260,22502,LG전자,2019-12-01,연구개발,현직원,2,편중 된 사고 를 가진 보다 고 제조업 문화 뼛속 깊이 다,업무 처리 속도 빠르 고 첫 째 로 해내 는 거 에 대한 자부심 는 편 다,비합리 인사 평가 욕설 고성방가 가장 큰 는 업무 에 깊이 다,아카데미 라는 오해 를 씻 어 려면 정말 깊숙이 썩 고 는 치부 를 들어내 고 고쳐야 한다
7262,22504,LG전자,2019-12-01,마케팅/시장조사,현직원,3,고 조직 문화 에 적응 면 평생 다닐 음 고 문화 에 익숙 해져야 만 함,고 교육 지원 이나 복지 괜찮 음 웬만히 무능 해도 자르 기 에 가늘 고 길 게 직장 생활 가능,고 문화 고 광 팔 위 를 해야 만 함 새로운 시도 기 위한 을 해야 만 아 음 을 느끼 는 은 절대 면 됨,정치 문화 광 팔 문화 꼰대 싹 다 획기적으로 바꾸 으면 순간 무너질
7264,22506,LG전자,2019-12-01,연구개발,현직원,3,그냥저냥 다니 기 엔 괜찮 은 곳 기업 오래가 못할 다는 느낌 어 그냥저냥 다니 다가 는 커리어 망칠 음 연대 제조 회사 임,워라 밸 은 괜찮 은 편 부바 부리 긴 한데 대체로 지켜 는 편 아닐까 다 물론 어떤 곳 은 주말 출근 에 야근 강요 도 음,과장 급 부터 연봉 나와 비슷 스펙 었 던 대 기업 공기업 친구 에 비해 먹 고 기 힘들 로 나쁨,경영진 은 딱히 그렇게 고 어 는 는 음 현상 유지
7265,22507,LG전자,2019-12-01,생산/제조,현직원,3,이직률 낮 은 회사 경력직 을 기 힘든 기업,입사 면 이상 다니 는 회사 고서 쓰 면 성공 합니다,보고 너무 고 고인 물 너무 습니다 어떻게 저런 입사 했 는지 부장 급 습니다,승진 해외 법인 장 발탁 시 인사 정보 를 꼼꼼 게 따져 고 주위 의 의견 도 듣 는 게 을 습니다
7270,22512,LG전자,2019-12-01,개발,현직원,2,발전 고 경쟁력 도 점점 밀려 미래 너무 어두움,서로 서로 에 대한 책임 을 회피 는 문화 어 잔업 남 아도 적당히 다 칼 퇴 할 음,점점 줄어드 는 복지 은 연봉 끝 는 보고 문화 잦 은 회식,이상 뭘 바라기 에 이미 많이 늦 은 다
7271,22513,LG전자,2019-12-01,생산/제조,현직원,3,개발자 대우 으며 얠 심히 할 으며 사내 복지 로 을 는 혜택 매우 지만 급여 수준 은 아쉬운 회사 열심히 고 커리어 를 쌓 거기 에 는 음,연차 윗사람 눈치 어서 으며 칼 퇴 가능 도서 비 및 여러 가전제품 구입 시 다양 복지 제공 해 며 업무 분위기 는 도금 아쉬움,업무 비효 율 로 인해 스트레스 편 업무 프로세스 를 개선 기 위한 노력 길 로,급여 낮 은 편 급여 를 올리 고 사내 에 딧중할수있 분위기 조성 에 힘써 셨 으면
7272,22514,LG전자,2019-12-01,연구개발,현직원,3,겉 으로 기 에 는 대 기업 라지만 에서 면 글로벌 중소기업 다,어른 아 는 기업 자율 출퇴근 보장 됨 분위기 나름 수평 라 돈 으면 다니 기 굉장히 음,동종 업계 대비 은 연봉 불 투명 고과 임원 을 위한 회사 인재 관리 함,동종 업계 대비 은 임금 실력 는 나감 생산 성 떨어짐 돈 을 못 벎 동종 업계 대비 은 임금 반복 와중 에 임원 은 보너스 잔치 잔치 열렸 네
7275,22517,LG전자,2019-12-01,연구개발,현직원,1,그냥 크기 만 큰 회사 임 연봉 이나 복지 은 중소기업 보다 못함 정권 에 찍혀 망한 대 기업 외 에 스스로 망하 는 유일 회사 인 듯 비전 고 길 어야 본다,못 거나 고 나이 아도 내친다 임원 달 면 잘리 고 계속 며 실적 아도 회전문 인사 로 계열사 로 이동한 다실 아도 임원 은 성과급 포함 고액 연봉 을 가져간다,는 고 의 욕 게 만든다 성과 를 도 보상 어 열심히 할수록 손해 는 느낌 라 다 같이 는 분위기 며 과장 부터 는 중소기업 보다 도 연봉 낮 다 성과급 도 거의 다고 면 된다 임원 을 위한 회사 라 넘 게 임원 고 실적 으면 회전문 인사 진행 한다,고인 물 및 임원 정리 고 비전 이나 직원 동기 부여 를 위한 보상 을 해라 연봉 도 어느 는 고 시킬 해야지 전 연봉 그대로 인 회사 는지 스스로 바란다
7276,22518,LG전자,2019-12-01,연구개발,현직원,3,개발자 대우 는 곳 실무자 에 대한 인정 부족 편,근무 플렉시블 타임 제 로 대체로 자유 로운 출퇴근 분위기,타사 대비 연봉 낮 음 프로젝트 진행 동안 워라 밸 보장 음 근무 제도 지만 프로젝트 기간 동안 은 무용지물 점점 줄 고 은 아 짐,미래 사업 계획 에 대한 LG 만 의 일관 성 고 주변 환경 에 많이 영향 을 음
7280,22522,LG전자,2019-12-01,생산/제조,현직원,4,근래 젊 은 임원 대거 투입 고 보다 의사 결정 과 업무 프로세스 합리 다,대 기업 라는 간판 과 괜찮 은 복지 는 지만 다고 도 은 임금,만년 의 이미지 굳어짐 내부 으로 도 이상 삼성 을 경쟁사 라고 는 듯 느낌,경남 권 과 경기 권 의 임직원 의 업무 패턴 과 사고 방식 많이 차이 다
7282,22524,LG전자,2019-12-01,연구개발,현직원,3,비교 자유 로운 분위기 에서 업무 가능 며 본인 할 만 면 게 제약 없이 할 는 장점 다 다만 상대 으로 은 연봉 과 시장 환경 상 기업 의 비전 과 개인 의 성장 을 고려 시 고민 필요 할 음,개인 연차 는 팀장 에 따라 다르 겠 지만 비교 자유 로우 며 프로세스 잡혀 어 기 에 는 수월 다 본인 노력 해서 인정 을 는다면 별도 성과 금 을 포함 연봉 도 괜찮 게 을 다,사업 부 별로 다르 겠 지만 경쟁사 대비 비전 으며 연봉 낮 아 임직원 의 동기 부여 는 편 다 임직원 보다 는 임원 위주 의 복지 로 상대 인 박탈감 을 느끼 게 함,연봉 상승 기본 으로 이루어져야 며 임직원 에게 뚜렷 성장 가능 성 과 방향 을 제시 해 면 겠 음
7287,22529,LG전자,2019-12-01,영업/제휴,현직원,4,국내 한정 대 기업 글로벌 중소기업 라는 양면 성 을 동시 에 보여 는 회사,국내 사업 의 꾸준 성장 과 기네스 실적 달성 으로 순탄 고 온화 분위기 조성,굴지 의 대 기업 라는 위치 에 걸맞 은 연봉 인선 으로 동기 저하 및 인재 뒤 도 돌아보 고 도망가 면서 갈 는 만 남 고 음,제발 기업 의 수준 에 걸맞 은 급여 복제 를 제공 해 길 인재 보상 의 부족 으로 꾸준히 떠나 고 음
7288,22530,LG전자,2019-12-01,연구개발,현직원,5,어느 회사 에 다니 냐고 물 어 봤 을 엘지 전자 에 다니 고 고 면 회사 뭐 는 회사 냐고 물 어 는 은 습니다,어느 워 라벨 보장 어 습니다 대체로 순수 고 착한 편 입니다,대 기업 에 다닌다는 자부심 으로 어제 도 오늘 도 내일 도 열심히 했 고 고 할 입니다 하지만 에 대한 충분 보상 부족 합니다,개발 부서 에 책임 을 줬 으면 에 대한 어느 의 권리 보상 은 꼭 필요 다고 합니다
7290,22532,LG전자,2019-12-01,생산/제조,현직원,3,서울 에 위치 여 다니 기 편하 다 대 기업 으로 한테 인지도 높 다,서울 에 위치 여 다니 기 편하 다 대 기업 으로 한테 인지도 높 다,개발자 는 너무 힘들 다 모든 을 하나하나 다 개발자 챙겨야 한다 회사 도 겠 지만 유독 심하 다,직원 의 불만 을 듣 고 무엇 인지 를 정확히 파악 해서 고칠 은 고쳤으면 겠 습니다
7293,22535,LG전자,2019-12-01,연구개발,현직원,3,개발자 을 의 을 는 곳 프로세스 만 따라다니 다 니 항상 개발 에서 뒤처지 는 느낌 음 그놈 의 프로세스 는 뭐 그렇게 은지,개발 아닌 곳 면 의외 로 꿀 빨 가능 성 높 음 에 의외 로 지키 려고 는 한다만 물론 지키 는 훨씬 음,초봉 은 나쁘 지만 연차 쌓일수록 연봉 경쟁사 대비 여 차이 많이 남 을 지킨다는 명분 에 시스템 으론 을 찍 더라도 실제론 보다 훨씬 넘기 는 음 꼰대 도 꼰대 지만 아직 까지 옛날 마인드 를 고 는 음,이러 다가 신입 다 나갑니다 신입 도 신입 인데 중간 허리 인 선임 다 나갑니다 진짜 연봉 이렇게 다가 중간 허리 선임 다 면 나이 은 책임 이란 신입 밖에 남 아요 신입 초봉 고 연차 에 따른 연봉 인상 률 높여야 합니다
7295,22537,LG전자,2019-12-01,연구개발,현직원,4,경영 을 바탕 으로 고객 가치 실현 을 우선 는 기업,성과 위주 의 인센티브 학자금 지원 의료비 지원 위크 앤 라이프 밸런스 가능,보수 인 경영 으로 산업 혁신 고 는데 뒤 처짐 어 보임,차 산업 인공지능 빅 데이터 산업 게 변화 는 시점 에서 원칙 은 지키 Game changer 될 는 큰 비전 을 제시 해 기 바랍니다
7297,22539,LG전자,2019-12-01,인사/총무,현직원,3,전체 으로 느슨 고 성과 보다 는 은 게 은 거 라는 분위기 의 기업,연차 를 자유 롭 게 쓸 고 나름 의 선진 기업 문화 로 아래 직원 에게 상당히 조심 는 편,보고 고 아무 도 책임지 는 분위기 에서 업무 를 느슨 고 재미없 게 한다 보람 을 느끼 기 힘 듦,에게 돈 을 아끼 기 에 발전 더디 고 삼성 에 열등감 을 느끼 기 에 늘 꽁무니 밖에 못 쫓 고 는 입니다
7301,22543,LG전자,2019-12-01,개발,현직원,3,큰 규모 의 제조업 에서 해 볼 어 은 경험 지만 그만큼 보수 고 새로운 변화 를 두려워하 는 경향 다,어른 아 신다 브랜드 네임 어 인지도 높 다 규모 고 오랫동안 축적 된 노하우 를 배울 다 신입 으로서 들어가 기 은 회사,연봉 인상 률 낮 다 보수 다 기술 의 발전 없이 정체 어 는 느낌 다 규모 에 비해 프로세스 체계 은 느낌,새로운 변화 를 많이 시도 해 봐야 할 다 고과 에 대한 공정 평가 기준 필요 고 성과 를 기반 으로 평가 필요 다
